NOME_MUNIC,ANO_BO,NUM_BO,DATA_REGIS,DATA_OCORR,HORA_OCORR,DESC_PERIO,DESCR_SUBT,BAIRRO,LOGRADOURO,NUMERO_LOG,LATITUDE,LONGITUDE,NOME_DELEG,RUBRICA,NATUREZA_A,MES_ESTATI,ANO_ESTATI
S.PAULO,"2024",AF4429,2024-01-05,2024-01-05,,,Praça,SE,PRAÇA DA SE,,,-46.634046855000001,01º D.P. SE,"Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput)",PORTE DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AG6095,2024-01-06,2024-01-06,,,Via Pública,SÉ,LARGO SÃO FRANCISCO,"95","-23.5498729",-46.636492599999997,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AH2509,2024-01-07,2024-01-07,,A tarde,Via Pública,SE,PRAÇA DA SE,"96","-23.551201401",-46.634046855000001,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AJ6539,2024-01-09,2024-01-09,,,Via Pública,SÉ,RUA ALMIRANTE MAURITI,"70","-23.5545181",-46.627417100000002,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AK5011,2024-01-09,2024-01-09,,,Via Pública,LIBERDADE,RUA HELENA ZERRENER,"11","-23.5534606",-46.628666400000000,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AK5445,2024-01-09,2024-01-09,,,Via Pública,SÉ,LARGO SÃO FRANCISCO,"10","-23.5498729",-46.636492599999997,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AM8975,2024-01-11,2024-01-11,,,Construção Abandonada,LIBERDADE,RUA DOS ESTUDANTES,"1","-23.5553712",-46.631797100000000,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AO2554,2024-01-12,2024-01-12,,,Via Pública,SÉ,RUA DOS ESTUDANTES,"544","-23.5555602",-46.633433699999998,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AP5013,2024-01-13,2024-01-13,,A tarde,Via Pública,CENTRO HISTÓRICO DE SÃO PAULO,RUA DOUTOR ITAPURA DE MIRANDA,"10","-23.5438793",-46.629710199999998,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AP6928,2024-01-13,2024-01-13,,,Via Pública,SÉ,LARGO SÃO FRANCISCO,"34","-23.5498729",-46.636492599999997,01º D.P. SE,"Drogas para consumo pessoal sem autorização ou em desacordo (Art.28,caput)",PORTE DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AR4765,2024-01-15,2024-01-15,,,Praça,CENTRO HISTÓRICO DE SÃO PAULO,PRAÇA FERNANDO COSTA,"1","-23.5472198",-46.631608200000002,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU1083,2024-01-17,2024-01-17,,,Via Pública,SE,TRAVESSA DOS ESTUDANTES,"123","-23.555373243",-46.631632533999898,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU2172,2024-01-17,2024-01-17,,,Via Pública,LIBERDADE,RUA SINIMBU,"48","-23.556930473",-46.631468923999897,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU2717,2024-01-17,2024-01-17,,,Via Pública,SE,RUA ROBERTO SIMONSEN,"5","-23.549397593",-46.632112337000002,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU3494,2024-01-17,2024-01-17,,,Via Pública,SÉ,RUA ROBERTO SIMONSEN,"5","-23.5493927",-46.632072399999998,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU6567,2024-01-17,2024-01-17,,,Via Pública,LIBERDADE,RUA SINIMBU,"236","-23.5583378",-46.631376899999999,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AU9346,2024-01-18,2024-01-17,,,Via Pública,SÉ,RUA DOS ESTUDANTES,"559","-23.5555602",-46.633433699999998,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
S.PAULO,"2024",AX2841,2024-01-19,2024-01-19,,,Prédio Abandonado,SE,RUA ROBERTO SIMONSEN,"23","-23.549397593",-46.632112337000002,01º D.P. SE,"Drogas sem autorização ou em desacordo (Art.33, caput)",TRÁFICO DE ENTORPECENTES,"1","2024"
